"Symbol","Name","Industry"
"GDG","GENERATION DEVELOPMENT GROUP L","Financials"
"MSB","MESOBLAST LTD","Healthcare"
"PRN","PERENTI LTD","Materials"
"TAH","TABCORP HOLDINGS LTD","Consumer Discretionary"
"SGM","SIMS LTD","Materials"
"NEU","NEUREN PHARMACEUTICALS LTD","Healthcare"
"MND","MONADELPHOUS GROUP LTD","Industrials"
"BWP","BWP PROPERTY GROUP LTD","Real Estate"
"YAL","YANCOAL AUSTRALIA LTD","Energy"
"CQR","CHARTER HALL RETAIL REIT","Real Estate"
"CNU","CHORUS LTD","Communication Services"
"NHC","NEW HOPE CORP LTD","Energy"
"VEA","VIVA ENERGY GROUP LTD","Energy"
"ASB","AUSTAL LTD","Industrials"
"IPX","IPERIONX LTD",""
"NWH","NRW HOLDINGS LTD","Industrials"
"CTD","CORPORATE TRAVEL MANAGEMENT LT","Consumer Discretionary"
"INA","INGENIA COMMUNITIES GROUP","Real Estate"
"TPG","TPG TELECOM LTD","Communication Services"
"PPT","PERPETUAL LTD","Financials"
"FLT","FLIGHT CENTRE TRAVEL GROUP LTD","Consumer Discretionary"
"TPW","TEMPLE & WEBSTER GROUP LTD","Consumer Discretionary"
"NWS","NEWS CORP","Communication Services"
"CIP","CENTURIA INDUSTRIAL REIT","Real Estate"
"GNC","GRAINCORP LTD","Consumer Staples"
"CIA","CHAMPION IRON LTD","Materials"
"BPT","BEACH ENERGY LTD","Energy"
"PMV","PREMIER INVESTMENTS LTD","Consumer Discretionary"
"NCK","NICK SCALI LTD","Consumer Discretionary"
"LTR","LIONTOWN RESOURCES LTD","Materials"
"DYL","DEEP YELLOW LTD","Energy"
"PXA","PEXA GROUP LTD","Real Estate"
"SDR","SITEMINDER LTD","Information Technology"
"IMD","IMDEX LTD","Materials"
"IRE","IRESS LTD","Information Technology"
"WPR","WAYPOINT REIT LTD","Real Estate"
"DBI","DALRYMPLE BAY INFRASTRUCTURE L",""
"GYG","GUZMAN Y GOMEZ LTD","Consumer Discretionary"
"DRR","DETERRA ROYALTIES LTD","Materials"
"JDO","JUDO CAPITAL HOLDINGS LTD","Financials"
"MFG","MAGELLAN FINANCIAL GROUP LTD","Financials"
"NEC","NINE ENTERTAINMENT CO HOLDINGS","Communication Services"
"ARF","ARENA REIT","Real Estate"
"BGL","BELLEVUE GOLD LTD","Materials"
"EBO","EBOS GROUP LTD",""
"CNI","CENTURIA CAPITAL GROUP","Real Estate"
"HLI","HELIA GROUP LTD","Financials"
"NIC","NICKEL INDUSTRIES LTD","Materials"
"IEL","IDP EDUCATION LTD","Consumer Discretionary"
"GQG","GQG PARTNERS INC","Financials"
"ELD","ELDERS LTD","Consumer Staples"
"FBU","FLETCHER BUILDING LTD","Industrials"
"BGA","BEGA CHEESE LTD","Consumer Staples"
"DTL","DATA#3 LTD","Information Technology"
"KAR","KAROON ENERGY LTD","Energy"
"WEB","WEBJET LTD","Consumer Discretionary"
"DGT","DIGICO INFRASTRUCTURE REIT","Real Estate"
"CKF","COLLINS FOODS LTD","Consumer Discretionary"
"AOV","AMOTIV LTD","Consumer Discretionary"
"CQE","CHARTER HALL SOCIAL INFRASTRUC","Real Estate"
"BAP","BAPCOR LTD","Consumer Discretionary"
"CCP","CREDIT CORP GROUP LTD","Financials"
"SIQ","SMARTGROUP CORP LTD","Industrials"
"ING","INGHAMS GROUP LTD","Consumer Staples"
"HMC","HMC CAPITAL LTD","Real Estate"
"IPH","IPH LTD","Industrials"
"DMP","DOMINO'S PIZZA ENTERPRISES LTD","Consumer Discretionary"
